Checking duplicate records in file ticdata2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,33,1,3,2,8,0,4,0,5,9,0,0,0,3,6,0,4,5,0,0,0,2,5,3,0,2,2,5,2,0,9,9,0,0,9,0,1,5,4,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_2_8_0_4_0_5_9_0_0_0_3_6_0_4_5_0_0_0_2_5_3_0_2_2_5_2_0_9_9_0_0_9_0_1_5_4_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_2_8_0_4_0_5_9_0_0_0_3_6_0_4_5_0_0_0_2_5_3_0_2_2_5_2_0_9_9_0_0_9_0_1_5_4_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2564,33,1,3,2,8,0,4,0,5,9,0,0,0,3,6,0,4,5,0,0,0,2,5,3,0,2,2,5,2,0,9,9,0,0,9,0,1,5,4,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_1_3_2_8_0_4_0_5_9_0_0_0_3_6_0_4_5_0_0_0_2_5_3_0_2_2_5_2_0_9_9_0_0_9_0_1_5_4_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_1_3_2_8_0_4_0_5_9_0_0_0_3_6_0_4_5_0_0_0_2_5_3_0_2_2_5_2_0_9_9_0_0_9_0_1_5_4_0_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
760,34,2,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34_2_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_34_2_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
2831,34,2,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34_2_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_34_2_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
4116,34,2,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34_2_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_34_2_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1371,34,2,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34_2_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_34_2_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1704,34,2,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34_2_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_34_2_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
3146,38,1,3,2,9,0,6,3,0,9,0,0,0,4,5,2,4,4,2,2,0,4,2,1,2,3,2,4,0,9,0,7,0,2,6,3,2,5,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38_1_3_2_9_0_6_3_0_9_0_0_0_4_5_2_4_4_2_2_0_4_2_1_2_3_2_4_0_9_0_7_0_2_6_3_2_5_3_0_0_3_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_38_1_3_2_9_0_6_3_0_9_0_0_0_4_5_2_4_4_2_2_0_4_2_1_2_3_2_4_0_9_0_7_0_2_6_3_2_5_3_0_0_3_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4891,38,1,3,2,9,0,6,3,0,9,0,0,0,4,5,2,4,4,2,2,0,4,2,1,2,3,2,4,0,9,0,7,0,2,6,3,2,5,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38_1_3_2_9_0_6_3_0_9_0_0_0_4_5_2_4_4_2_2_0_4_2_1_2_3_2_4_0_9_0_7_0_2_6_3_2_5_3_0_0_3_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_38_1_3_2_9_0_6_3_0_9_0_0_0_4_5_2_4_4_2_2_0_4_2_1_2_3_2_4_0_9_0_7_0_2_6_3_2_5_3_0_0_3_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3956,38,1,3,2,9,0,6,3,0,9,0,0,0,4,5,2,4,4,2,2,0,4,2,1,2,3,2,4,0,9,0,7,0,2,6,3,2,5,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38_1_3_2_9_0_6_3_0_9_0_0_0_4_5_2_4_4_2_2_0_4_2_1_2_3_2_4_0_9_0_7_0_2_6_3_2_5_3_0_0_3_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_38_1_3_2_9_0_6_3_0_9_0_0_0_4_5_2_4_4_2_2_0_4_2_1_2_3_2_4_0_9_0_7_0_2_6_3_2_5_3_0_0_3_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
5121,38,1,3,2,9,0,6,3,0,9,0,0,0,4,5,2,4,4,2,2,0,4,2,1,2,3,2,4,0,9,0,7,0,2,6,3,2,5,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38_1_3_2_9_0_6_3_0_9_0_0_0_4_5_2_4_4_2_2_0_4_2_1_2_3_2_4_0_9_0_7_0_2_6_3_2_5_3_0_0_3_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_38_1_3_2_9_0_6_3_0_9_0_0_0_4_5_2_4_4_2_2_0_4_2_1_2_3_2_4_0_9_0_7_0_2_6_3_2_5_3_0_0_3_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2745,38,1,3,2,9,0,6,3,0,9,0,0,0,4,5,2,4,4,2,2,0,4,2,1,2,3,2,4,0,9,0,7,0,2,6,3,2,5,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38_1_3_2_9_0_6_3_0_9_0_0_0_4_5_2_4_4_2_2_0_4_2_1_2_3_2_4_0_9_0_7_0_2_6_3_2_5_3_0_0_3_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_38_1_3_2_9_0_6_3_0_9_0_0_0_4_5_2_4_4_2_2_0_4_2_1_2_3_2_4_0_9_0_7_0_2_6_3_2_5_3_0_0_3_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
833,9,1,3,3,3,0,5,0,4,7,0,2,2,4,3,0,7,2,0,0,0,7,0,2,0,3,5,2,0,9,0,9,0,0,9,0,4,5,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9_1_3_3_3_0_5_0_4_7_0_2_2_4_3_0_7_2_0_0_0_7_0_2_0_3_5_2_0_9_0_9_0_0_9_0_4_5_0_0_0_3_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_9_1_3_3_3_0_5_0_4_7_0_2_2_4_3_0_7_2_0_0_0_7_0_2_0_3_5_2_0_9_0_9_0_0_9_0_4_5_0_0_0_3_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4475,9,1,3,3,3,0,5,0,4,7,0,2,2,4,3,0,7,2,0,0,0,7,0,2,0,3,5,2,0,9,0,9,0,0,9,0,4,5,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9_1_3_3_3_0_5_0_4_7_0_2_2_4_3_0_7_2_0_0_0_7_0_2_0_3_5_2_0_9_0_9_0_0_9_0_4_5_0_0_0_3_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_9_1_3_3_3_0_5_0_4_7_0_2_2_4_3_0_7_2_0_0_0_7_0_2_0_3_5_2_0_9_0_9_0_0_9_0_4_5_0_0_0_3_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
5079,9,1,3,3,3,0,5,0,4,7,0,2,2,4,3,0,7,2,0,0,0,7,0,2,0,3,5,2,0,9,0,9,0,0,9,0,4,5,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9_1_3_3_3_0_5_0_4_7_0_2_2_4_3_0_7_2_0_0_0_7_0_2_0_3_5_2_0_9_0_9_0_0_9_0_4_5_0_0_0_3_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_9_1_3_3_3_0_5_0_4_7_0_2_2_4_3_0_7_2_0_0_0_7_0_2_0_3_5_2_0_9_0_9_0_0_9_0_4_5_0_0_0_3_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
446,9,1,3,3,3,0,5,0,4,7,0,2,2,4,3,0,7,2,0,0,0,7,0,2,0,3,5,2,0,9,0,9,0,0,9,0,4,5,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9_1_3_3_3_0_5_0_4_7_0_2_2_4_3_0_7_2_0_0_0_7_0_2_0_3_5_2_0_9_0_9_0_0_9_0_4_5_0_0_0_3_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_9_1_3_3_3_0_5_0_4_7_0_2_2_4_3_0_7_2_0_0_0_7_0_2_0_3_5_2_0_9_0_9_0_0_9_0_4_5_0_0_0_3_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1981,9,1,3,3,3,0,5,0,4,7,0,2,2,4,3,0,7,2,0,0,0,7,0,2,0,3,5,2,0,9,0,9,0,0,9,0,4,5,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9_1_3_3_3_0_5_0_4_7_0_2_2_4_3_0_7_2_0_0_0_7_0_2_0_3_5_2_0_9_0_9_0_0_9_0_4_5_0_0_0_3_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_9_1_3_3_3_0_5_0_4_7_0_2_2_4_3_0_7_2_0_0_0_7_0_2_0_3_5_2_0_9_0_9_0_0_9_0_4_5_0_0_0_3_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 records with same values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
index,sd_cust_subtype,sd_no_of_houses,sd_avg_household,sd_avg_age_band,sd_cust_maintype,sd_religion_catholic,sd_religion_protestant,sd_religion_other,sd_religion_no,sd_rel_married,sd_rel_living_tg,sd_rel_other,sd_rel_no_singles,sd_hshold_wo_children,sd_hshold_w_children,sd_education_higher,sd_education_medium,sd_education_lower,sd_empst_high,sd_empst_Entrepr ,sd_empst_farmer,sd_empst_mdl_mgmt,sd_empst_skill_labour,sd_empst_unskill_labour,sd_socialclassA,sd_socialclassB1,sd_socialclassB2,sd_socialclassC,sd_socialclassD,sd_rentedhouse,sd_homeowners,sd_car_1,sd_car_2,sd_car_0,sd_health_ins_national,sd_health_ins_private,sd_income_l_30k,sd_income_30k_45k,sd_income_45k_75k,sd_income_75k_122k,sd_income_g_123k,sd_income_avg,sd_p_power_class,po_ins_pol_thirdparty_pvt,po_ins_pol_thirdparty_firms,po_ins_pol_thirdparty_agri,po_ins_pol_car,po_ins_pol_del_van,po_ins_pol_motorcycle_sc,po_ins_pol_lorry,po_ins_pol_trailer,po_ins_pol_tractor,po_ins_pol_agri_machines,po_ins_pol_moped,po_ins_pol_life,po_ins_pol_accident_ins_pvt,po_ins_pol_accident_ins_fam,po_ins_pol_disability,po_ins_pol_fire,po_ins_pol_surfboard,po_ins_pol_boat,po_ins_pol_bicycle,po_ins_pol_property,po_ins_pol_social security,po_no_ins_pol_thirdparty_pvt,po_no_ins_pol_thirdparty_firms,po_no_ins_pol_thirdparty_agri,po_no_ins_pol_car,po_no_ins_pol_del_van,po_no_ins_pol_motorcycle_sc,po_no_ins_pol_lorry,po_no_ins_pol_trailer,po_no_ins_pol_tractor,po_no_ins_pol_agri_machines,po_no_ins_pol_moped,po_no_ins_pol_life,po_no_ins_pol_accident_ins_pvt,po_no_ins_pol_accident_ins_fam,po_no_ins_pol_disability,po_no_ins_pol_fire,po_no_ins_pol_surfboard,po_no_ins_pol_boat,po_no_ins_pol_bicycle,po_no_ins_pol_property,po_no_ins_pol_social security,po_ins_pol_caravan,df_combined
714,31,1,2,3,7,0,6,0,3,3,0,6,3,4,3,0,3,6,2,0,0,2,4,4,1,0,2,4,3,9,0,5,0,4,5,4,5,3,1,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31_1_2_3_7_0_6_0_3_3_0_6_3_4_3_0_3_6_2_0_0_2_4_4_1_0_2_4_3_9_0_5_0_4_5_4_5_3_1_0_0_2_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_31_1_2_3_7_0_6_0_3_3_0_6_3_4_3_0_3_6_2_0_0_2_4_4_1_0_2_4_3_9_0_5_0_4_5_4_5_3_1_0_0_2_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
5759,31,1,2,3,7,0,6,0,3,3,0,6,3,4,3,0,3,6,2,0,0,2,4,4,1,0,2,4,3,9,0,5,0,4,5,4,5,3,1,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31_1_2_3_7_0_6_0_3_3_0_6_3_4_3_0_3_6_2_0_0_2_4_4_1_0_2_4_3_9_0_5_0_4_5_4_5_3_1_0_0_2_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_31_1_2_3_7_0_6_0_3_3_0_6_3_4_3_0_3_6_2_0_0_2_4_4_1_0_2_4_3_9_0_5_0_4_5_4_5_3_1_0_0_2_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4967,31,1,2,3,7,0,6,0,3,3,0,6,3,4,3,0,3,6,2,0,0,2,4,4,1,0,2,4,3,9,0,5,0,4,5,4,5,3,1,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31_1_2_3_7_0_6_0_3_3_0_6_3_4_3_0_3_6_2_0_0_2_4_4_1_0_2_4_3_9_0_5_0_4_5_4_5_3_1_0_0_2_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_31_1_2_3_7_0_6_0_3_3_0_6_3_4_3_0_3_6_2_0_0_2_4_4_1_0_2_4_3_9_0_5_0_4_5_4_5_3_1_0_0_2_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4354,31,1,2,3,7,0,6,0,3,3,0,6,3,4,3,0,3,6,2,0,0,2,4,4,1,0,2,4,3,9,0,5,0,4,5,4,5,3,1,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31_1_2_3_7_0_6_0_3_3_0_6_3_4_3_0_3_6_2_0_0_2_4_4_1_0_2_4_3_9_0_5_0_4_5_4_5_3_1_0_0_2_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_31_1_2_3_7_0_6_0_3_3_0_6_3_4_3_0_3_6_2_0_0_2_4_4_1_0_2_4_3_9_0_5_0_4_5_4_5_3_1_0_0_2_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
5514,31,1,2,3,7,1,4,2,3,4,3,3,3,2,5,0,3,6,1,0,0,2,3,3,1,1,2,6,1,9,0,5,0,4,8,1,6,3,0,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31_1_2_3_7_1_4_2_3_4_3_3_3_2_5_0_3_6_1_0_0_2_3_3_1_1_2_6_1_9_0_5_0_4_8_1_6_3_0_0_0_2_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_31_1_2_3_7_1_4_2_3_4_3_3_3_2_5_0_3_6_1_0_0_2_3_3_1_1_2_6_1_9_0_5_0_4_8_1_6_3_0_0_0_2_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
982,31,1,2,3,7,1,4,2,3,4,3,3,3,2,5,0,3,6,1,0,0,2,3,3,1,1,2,6,1,9,0,5,0,4,8,1,6,3,0,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31_1_2_3_7_1_4_2_3_4_3_3_3_2_5_0_3_6_1_0_0_2_3_3_1_1_2_6_1_9_0_5_0_4_8_1_6_3_0_0_0_2_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_31_1_2_3_7_1_4_2_3_4_3_3_3_2_5_0_3_6_1_0_0_2_3_3_1_1_2_6_1_9_0_5_0_4_8_1_6_3_0_0_0_2_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
